poster,posterTitle,posterAuthors,posterConference,posterYear,posterLocation
PAR-poster,PAR: Political Actor Representation Learning with Social Context and Expert Knowledge,"Shangbin Feng, Zhaoxuan Tan, Zilong Chen, Ningnan Wang, Peisheng Yu, Qinghua Zheng, Minnan Luo","the 2022 Conference on Empirical Methods in Natural Language Processing (EMNLP), 2022.",2022,
TwiBot-22-poster,TwiBot-22: Towards Graph-Based Twitter Bot Detection,"Shangbin Feng<sup>*</sup>, Zhaoxuan Tan<sup>*</sup>, Herun Wan<sup>*</sup>, Ningnan Wang<sup>*</sup>, Zilong Chen<sup>*</sup>, Binchi Zhang<sup>*</sup>, Qinghua Zheng, Wenqian Zhang, Zhenyu Lei, Shujie Yang, Xinshun Feng, Qingyue Zhang, Hongrui Wang, Yuhan Liu, Yuyang Bai, Heng Wang, Zijian Cai, Yanbo Wang, Lijing Zheng, Zihan Ma, Jundong Li, Minnan Luo","the Thirty-sixth Conference on Neural Information Processing Systems (NeurIPS), Dataset and Benchmark Track, 2022.",2022,
heterobot@aaai22 poster,Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers,"Shangbin Feng, Zhaoxuan Tan, Rui Li, Minnan Luo", Thirty-sixth AAAI Conference on Artificial Intelligence (AAAI),2022,
TwiBot-20_poster,TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark,"Shangbin Feng, Herun Wan, Ningnan Wang, Jundong Li, Minnan Luo",ACM International Conference on Information and Knowledge Management (CIKM),2021,
SATAR_poster,SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection,"Shangbin Feng, Herun Wan, Ningnan Wang, Jundong Li, Minnan Luo",ACM International Conference on Information and Knowledge Management (CIKM),2021,
